"module","modSize","bkgrModSize","rank","enrichmentP","BonferoniP","nModGenesInTerm","fracOfBkgrModSize","fracOfBkgrTermSize","bkgrTermSize","termID","termOntology","termName","termDefinition"
"black",57,55,8,8.35499261052707e-05,1,7,0.127272727272727,0.0234113712374582,299,"GO:0044782","BP","cilium organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a cilium, a specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole."
"black",57,55,9,0.000106783963979757,1,9,0.163636363636364,0.0166358595194085,541,"GO:0000226","BP","microtubule cytoskeleton organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."
"black",57,55,10,0.000287892710254565,1,10,0.181818181818182,0.0131752305665349,759,"GO:0007017","BP","microtubule-based process","Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins."
"blue",135,131,1,1.06908730281253e-06,0.0199320636736367,19,0.145038167938931,0.0306451612903226,620,"GO:0032990","BP","cell part morphogenesis","The process in which the anatomical structures of a cell part are generated and organized."
"blue",135,131,2,2.04500281243583e-06,0.0381270324350535,18,0.137404580152672,0.0307167235494881,586,"GO:0048812","BP","neuron projection morphogenesis","The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."
"blue",135,131,3,2.10712865234213e-06,0.0392853065942666,21,0.16030534351145,0.0269922879177378,778,"GO:0036477","CC","somatodendritic compartment","The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon."
"blue",135,131,4,3.05722683661e-06,0.0569989371417569,18,0.137404580152672,0.0298507462686567,603,"GO:0048858","BP","cell projection morphogenesis","The process in which the anatomical structures of a cell projection are generated and organized."
"blue",135,131,5,3.47093134277105e-06,0.0647120439546235,27,0.206106870229008,0.0218978102189781,1233,"GO:0043005","CC","neuron projection","A prolongation or process extending from a nerve cell, e.g. an axon or dendrite."
"blue",135,131,6,6.54520255948601e-06,0.122028756519057,15,0.114503816793893,0.0330396475770925,454,"GO:0043025","CC","neuronal cell body","The portion of a neuron that includes the nucleus, but excludes cell projections such as axons and dendrites."
"blue",135,131,7,6.88059079702222e-06,0.128281734819682,16,0.122137404580153,0.0310679611650485,515,"GO:0044297","CC","cell body","The portion of a cell bearing surface projections such as axons, dendrites, cilia, or flagella that includes the nucleus, but excludes all cell projections."
"blue",135,131,8,1.24954784624393e-05,0.232965700453718,18,0.137404580152672,0.0269461077844311,668,"GO:0099536","BP","synaptic signaling","Cell-cell signaling to, from or within a synapse."
"blue",135,131,9,2.61903646162526e-05,0.488293157905414,17,0.129770992366412,0.02660406885759,639,"GO:0007268","BP","chemical synaptic transmission","The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."
"blue",135,131,10,3.13225560410697e-05,0.583977734829703,4,0.0305343511450382,0.181818181818182,22,"GO:0001964","BP","startle response","An action or movement due to the application of a sudden unexpected stimulus."
"blue2",55,51,1,8.67572044826844e-05,1,5,0.0980392156862745,0.036231884057971,138,"GO:0010976","BP","positive regulation of neuron projection development","Any process that increases the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."
"blue2",55,51,2,0.000156972741710495,1,2,0.0392156862745098,0.333333333333333,6,"GO:0045759","BP","negative regulation of action potential","Any process that stops, prevents, or reduces the frequency, rate or extent of action potential creation, propagation or termination. This typically occurs via modulation of the activity or expression of voltage-gated ion channels."
"blue2",55,51,3,0.000291786609491033,1,2,0.0392156862745098,0.25,8,"GO:0033292","BP","T-tubule organization","A process that is carried out at the cellular level that results in the assembly, arrangement of constituent parts, or disassembly of the T-tubule. A T-tubule is an invagination of the plasma membrane of a muscle cell that extends inward from the cell surface around each myofibril."
"blue2",55,51,4,0.00107823406632987,1,2,0.0392156862745098,0.133333333333333,15,"GO:1901881","BP","positive regulation of protein depolymerization",NA
"blue2",55,51,5,0.00156128553972794,1,2,0.0392156862745098,0.111111111111111,18,"GO:0097001","MF","ceramide binding","Binding to a ceramide, a class of lipids composed of sphingosine linked to a fatty acid. Ceramides are a major component of cell membranes."
"blue2",55,51,6,0.00189254417228602,1,8,0.156862745098039,0.0113960113960114,702,"GO:0008289","MF","lipid binding","Binding to a lipid."
"blue2",55,51,7,0.00193073916633536,1,2,0.0392156862745098,0.1,20,"GO:0043194","CC","axon initial segment","Portion of the axon proximal to the neuronal cell body, at the level of the axon hillock. The action potentials that propagate along the axon are generated at the level of this initial segment."
"blue2",55,51,8,0.00206570152723297,1,6,0.117647058823529,0.0147420147420147,407,"GO:0010975","BP","regulation of neuron projection development","Any process that modulates the rate, frequency or extent of neuron projection development. Neuron projection development is the process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."
"blue2",55,51,9,0.00228808981965574,1,3,0.0588235294117647,0.0375,80,"GO:0034766","BP","negative regulation of ion transmembrane transport","Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other."
"blue2",55,51,10,0.00251554679764029,1,4,0.0784313725490196,0.0229885057471264,174,"GO:0007033","BP","vacuole organization","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vacuole."
"brown",187,142,1,0.000383026955615529,1,3,0.0211267605633803,0.1875,16,"GO:0032183","MF","SUMO binding","Binding to the small ubiquitin-like protein SUMO."
"brown",187,142,2,0.000491219481038231,1,2,0.0140845070422535,0.5,4,"GO:1902261","BP","positive regulation of delayed rectifier potassium channel activity",NA
"brown",187,142,3,0.000732805034004046,1,5,0.0352112676056338,0.0641025641025641,78,"GO:0005179","MF","hormone activity","The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process."
"brown",187,142,4,0.00166338875611825,1,3,0.0211267605633803,0.115384615384615,26,"GO:0019934","BP","cGMP-mediated signaling","Any intracellular signal transduction in which the signal is passed on within the cell via cyclic GMP (cGMP). Includes production of cGMP, and downstream effectors that further transmit the signal within the cell."
"brown",187,142,5,0.00166338875611825,1,3,0.0211267605633803,0.115384615384615,26,"GO:1901018","BP","positive regulation of potassium ion transmembrane transporter activity",NA
"brown",187,142,6,0.00168854698430919,1,2,0.0140845070422535,0.285714285714286,7,"GO:0006182","BP","cGMP biosynthetic process","The chemical reactions and pathways resulting in the formation of cyclic GMP, guanosine 3',5'-phosphate."
"brown",187,142,7,0.00168854698430919,1,2,0.0140845070422535,0.285714285714286,7,"GO:0010749","BP","regulation of nitric oxide mediated signal transduction","Any process that modulates the rate, frequency or extent of nitric oxide mediated signal transduction. Nitric oxide mediated signal transduction is a series of molecular signals mediated by the detection of nitric oxide (NO)."
"brown",187,142,8,0.00168854698430919,1,2,0.0140845070422535,0.285714285714286,7,"GO:0060296","BP","regulation of cilium beat frequency involved in ciliary motility","Any process that modulates the frequency of cilium beating involved in ciliary motility."
"brown",187,142,9,0.00223792462910199,1,2,0.0140845070422535,0.25,8,"GO:0007168","BP","receptor guanylyl cyclase signaling pathway","A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses guanylyl cyclase activity, and ending with regulation of a downstream cellular process, e.g. transcription."
"brown",187,142,10,0.00223792462910199,1,2,0.0140845070422535,0.25,8,"GO:0035562","BP","negative regulation of chromatin binding","Any process that stops or reduces the frequency, rate or extent of chromatin binding. Chromatin binding is the selective interaction with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase."
"brown2",258,222,1,2.81354856677259e-05,0.524557994789081,3,0.0135135135135135,0.6,5,"GO:0015879","BP","carnitine transport","The directed movement of carnitine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Carnitine is a compound that participates in the transfer of acyl groups across the inner mitochondrial membrane."
"brown2",258,222,2,3.39966608607435e-05,0.633833745087701,21,0.0945945945945946,0.0387453874538745,542,"GO:0005929","CC","cilium","A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body."
"brown2",258,222,3,5.91624684526899e-05,1,8,0.036036036036036,0.0851063829787234,94,"GO:0005930","CC","axoneme","The bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements."
"brown2",258,222,4,5.91624684526899e-05,1,8,0.036036036036036,0.0851063829787234,94,"GO:0097014","CC","ciliary plasm","All of the contents of a cilium, excluding the plasma membrane surrounding the cilium."
"brown2",258,222,5,9.64072297734619e-05,1,3,0.0135135135135135,0.428571428571429,7,"GO:0015838","BP","amino-acid betaine transport","The directed movement of betaine, the N-trimethyl derivative of an amino acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"brown2",258,222,6,0.000112725494712379,1,5,0.0225225225225225,0.147058823529412,34,"GO:0042073","BP","intraciliary transport","The bidirectional movement of large protein complexes along microtubules within a cilium, mediated by motor proteins."
"brown2",258,222,7,0.000574759740758573,1,3,0.0135135135135135,0.25,12,"GO:0035845","BP","photoreceptor cell outer segment organization","A process that is carried out at the cellular level and results in the assembly, arrangement of constituent parts, or disassembly of the outer segment of a photoreceptor cell, a sensory cell that reacts to the presence of light. The outer segment of the photoreceptor cell contains the light-absorbing materials."
"brown2",258,222,8,0.000603386302419671,1,2,0.00900900900900901,0.666666666666667,3,"GO:0060480","BP","lung goblet cell differentiation","The process in which a relatively unspecialized cell acquires specialized features of a lung goblet cell. A goblet cell is a cell of the epithelial lining that produces and secretes mucins."
"brown2",258,222,9,0.000603386302419671,1,2,0.00900900900900901,0.666666666666667,3,"GO:0015226","MF","carnitine transmembrane transporter activity","Enables the transfer of carnitine across a membrane. Carnitine is a compound that participates in the transfer of acyl groups across the inner mitochondrial membrane."
"brown2",258,222,10,0.000680743356199845,1,8,0.036036036036036,0.0597014925373134,134,"GO:0036064","CC","ciliary basal body","A membrane-tethered, short cylindrical array of microtubules and associated proteins found at the base of a eukaryotic cilium (also called flagellum) that is similar in structure to a centriole and derives from it. The cilium basal body is the site of assembly and remodelling of the cilium and serves as a nucleation site for axoneme growth. As well as anchoring the cilium, it is thought to provide a selective gateway regulating the entry of ciliary proteins and vesicles by intraflagellar transport."
"brown4",80,67,1,6.25230576964894e-05,1,4,0.0597014925373134,0.08,50,"GO:0003743","MF","translation initiation factor activity","Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide."
"brown4",80,67,2,0.000185341730484304,1,3,0.0447761194029851,0.115384615384615,26,"GO:0002183","BP","cytoplasmic translational initiation","The process preceding formation of the peptide bond between the first two amino acids of a protein in the cytoplasm. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA."
"brown4",80,67,3,0.000371416474069714,1,4,0.0597014925373134,0.0506329113924051,79,"GO:0008135","MF","translation factor activity, RNA binding","Functions during translation by binding to RNA during polypeptide synthesis at the ribosome."
"brown4",80,67,4,0.000503910975552475,1,2,0.0298507462686567,0.25,8,"GO:0006930","BP","substrate-dependent cell migration, cell extension","The formation of a cell surface protrusion, such as a lamellipodium or filopodium, at the leading edge of a migrating cell."
"brown4",80,67,5,0.00133541827165684,1,4,0.0597014925373134,0.036036036036036,111,"GO:0006413","BP","translational initiation","The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA."
"brown4",80,67,6,0.00185319362908855,1,2,0.0298507462686567,0.133333333333333,15,"GO:0042043","MF","neurexin family protein binding","Binding to a neurexin, a synaptic cell surface protein related to latrotoxin receptor, laminin and agrin. Neurexins act as cell recognition molecules at nerve terminals."
"brown4",80,67,7,0.00272528156646996,1,5,0.0746268656716418,0.0224215246636771,223,"GO:0030246","MF","carbohydrate binding","Binding to a carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates."
"brown4",80,67,8,0.00273160811179263,1,4,0.0597014925373134,0.0296296296296296,135,"GO:0045182","MF","translation regulator activity","Any molecular function involved in the initiation, activation, perpetuation, repression or termination of polypeptide synthesis at the ribosome."
"brown4",80,67,9,0.00431006754583463,1,1,0.0149253731343284,1,1,"GO:0006583","BP","melanin biosynthetic process from tyrosine","The chemical reactions and pathways resulting in the formation of melanin from other compounds, including tyrosine."
"brown4",80,67,10,0.00431006754583463,1,1,0.0149253731343284,1,1,"GO:0060629","BP","regulation of homologous chromosome segregation","Any process that modulates the rate, frequency, or extent of homologous chromosome segregation, the cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the first division of the meiotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner; this pairing off, referred to as synapsis, permits genetic recombination. One homolog (both sister chromatids) of each morphologic type goes into each of the resulting chromosome sets."
"coral1",125,118,1,8.66641413707391e-05,1,7,0.0593220338983051,0.0507246376811594,138,"GO:0043021","MF","ribonucleoprotein complex binding","Binding to a complex of RNA and protein."
"coral1",125,118,2,0.000320152984862408,1,3,0.0254237288135593,0.166666666666667,18,"GO:0003746","MF","translation elongation factor activity","Functions in chain elongation during polypeptide synthesis at the ribosome."
"coral1",125,118,3,0.000333366146048853,1,5,0.0423728813559322,0.0632911392405063,79,"GO:0008135","MF","translation factor activity, RNA binding","Functions during translation by binding to RNA during polypeptide synthesis at the ribosome."
"coral1",125,118,4,0.00033941767587358,1,2,0.0169491525423729,0.5,4,"GO:1990446","MF","U1 snRNP binding",NA
"coral1",125,118,5,0.000474392384903821,1,4,0.0338983050847458,0.0833333333333333,48,"GO:0006414","BP","translational elongation","The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."
"coral1",125,118,6,0.000513555987640514,1,4,0.0338983050847458,0.0816326530612245,49,"GO:0051287","MF","NAD binding","Binding to nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH."
"coral1",125,118,7,0.00057075513367629,1,6,0.0508474576271186,0.0444444444444444,135,"GO:0045182","MF","translation regulator activity","Any molecular function involved in the initiation, activation, perpetuation, repression or termination of polypeptide synthesis at the ribosome."
"coral1",125,118,8,0.000595841551769909,1,10,0.0847457627118644,0.026525198938992,377,"GO:0051051","BP","negative regulation of transport","Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"coral1",125,118,9,0.000689991300531051,1,22,0.186440677966102,0.015850144092219,1388,"GO:0015031","BP","protein transport","The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"coral1",125,118,10,0.000692215470146726,1,23,0.194915254237288,0.0155091031692515,1483,"GO:0045184","BP","establishment of protein localization","The directed movement of a protein to a specific location."
"coral2",245,194,1,0.000154954975237498,1,2,0.0103092783505155,1,2,"GO:1990879","CC","CST complex",NA
"coral2",245,194,2,0.00029332496948146,1,3,0.0154639175257732,0.272727272727273,11,"GO:0000783","CC","nuclear telomere cap complex","A complex of DNA and protein located at the end of a linear chromosome in the nucleus that protects and stabilizes a linear chromosome."
"coral2",245,194,3,0.00029332496948146,1,3,0.0154639175257732,0.272727272727273,11,"GO:0008527","MF","taste receptor activity","Combining with soluble compounds to initiate a change in cell activity. These receptors are responsible for the sense of taste."
"coral2",245,194,4,0.000387511755791887,1,3,0.0154639175257732,0.25,12,"GO:0140445","CC","chromosome, telomeric repeat region",NA
"coral2",245,194,5,0.000914487364536937,1,2,0.0103092783505155,0.5,4,"GO:0045007","BP","depurination","The disruption of the bond between the sugar in the backbone and the A or G base, causing the base to be removed and leaving a depurinated sugar."
"coral2",245,194,6,0.000914487364536937,1,2,0.0103092783505155,0.5,4,"GO:0010521","MF","telomerase inhibitor activity","Binds to and stops, prevents or reduces the activity of telomerase."
"coral2",245,194,7,0.00101353645038792,1,4,0.0206185567010309,0.111111111111111,36,"GO:0042162","MF","telomeric DNA binding","Binding to a telomere, a specific structure at the end of a linear chromosome required for the integrity and maintenance of the end."
"coral2",245,194,8,0.00124565821844585,1,4,0.0206185567010309,0.105263157894737,38,"GO:0016233","BP","telomere capping","A process in which telomeres are protected from degradation and fusion, thereby ensuring chromosome stability by protecting the ends from both degradation and from being recognized as damaged DNA. May be mediated by specific single- or double-stranded telomeric DNA binding proteins."
"coral2",245,194,9,0.00136014266614417,1,3,0.0154639175257732,0.166666666666667,18,"GO:0032211","BP","negative regulation of telomere maintenance via telomerase","Any process that stops, prevents, or reduces the frequency, rate or extent of the addition of telomeric repeats by telomerase."
"coral2",245,194,10,0.00146369137285793,1,7,0.0360824742268041,0.0522388059701493,134,"GO:0036064","CC","ciliary basal body","A membrane-tethered, short cylindrical array of microtubules and associated proteins found at the base of a eukaryotic cilium (also called flagellum) that is similar in structure to a centriole and derives from it. The cilium basal body is the site of assembly and remodelling of the cilium and serves as a nucleation site for axoneme growth. As well as anchoring the cilium, it is thought to provide a selective gateway regulating the entry of ciliary proteins and vesicles by intraflagellar transport."
"cyan",158,143,1,1.45707506240605e-07,0.00271657074634985,65,0.454545454545455,0.0164598632565206,3949,"GO:0016070","BP","RNA metabolic process","The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"cyan",158,143,2,1.49452175514513e-07,0.00278638636029258,74,0.517482517482518,0.0154102457309454,4802,"GO:0006139","BP","nucleobase-containing compound metabolic process","Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
"cyan",158,143,3,5.66855258579424e-07,0.0105684494409548,74,0.517482517482518,0.014949494949495,4950,"GO:0046483","BP","heterocycle metabolic process","The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
"cyan",158,143,4,8.88646376474606e-07,0.0165679230429926,53,0.370629370629371,0.0173486088379705,3055,"GO:0003676","MF","nucleic acid binding","Binding to a nucleic acid."
"cyan",158,143,5,9.03826987725681e-07,0.0168509503591576,74,0.517482517482518,0.0147881694644285,5004,"GO:0006725","BP","cellular aromatic compound metabolic process","The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells."
"cyan",158,143,6,4.3275894481402e-06,0.0806835776711258,73,0.510489510489511,0.0143277723258096,5095,"GO:0010467","BP","gene expression","The process in which a gene's sequence is converted into a mature gene product (protein or RNA). This includes the production of an RNA transcript and its processing, translation and maturation for protein-coding genes."
"cyan",158,143,7,8.08399235263567e-06,0.150717953422539,40,0.27972027972028,0.0184586986617443,2167,"GO:0003677","MF","DNA binding","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"cyan",158,143,8,2.38966057025169e-05,0.445528316717724,58,0.405594405594406,0.0150181253236665,3862,"GO:0043169","MF","cation binding","Binding to a cation, a charged atom or group of atoms with a net positive charge."
"cyan",158,143,9,2.72907508046902e-05,0.508808758002644,57,0.398601398601399,0.0150594451783355,3785,"GO:0046872","MF","metal ion binding","Binding to a metal ion."
"cyan",158,143,10,3.22332305192322e-05,0.600956349800566,84,0.587412587412587,0.012913143735588,6505,"GO:0005634","CC","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"darkgreen",192,165,1,0.0016334014321943,1,2,0.0121212121212121,0.333333333333333,6,"GO:0005345","MF","purine nucleobase transmembrane transporter activity","Enables the transfer of purine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, from one side of a membrane to the other."
